wine0_location, book0_location, fridge_state, dishwasher_state, tv_state, Act_A, LocA_A, Act_B, LocA_B, Close_B
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, null, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_fridge149, kitchen, walktowards_fridge149, kitchen, bookcoffeepotcupcakecupcakedishwasherjuicekitchencabinetplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_fridge149, kitchen, bookcupcakecupcakedishwasherjuicekitchencabinetkitchentableplatepudding
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_fridge149, kitchen, kitchentableplatepoundcake
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, walktowards_fridge149, kitchen, kitchentableplatepoundcake
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_livingroom262, kitchen, open_fridge149, kitchen, appleapplefridgekitchentableplatepoundcakewine
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, walktowards_sofa289, livingroom, null, kitchen, appleapplefridgekitchentablewine
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, walktowards_sofa289, livingroom, null, kitchen, appleapplefridgekitchentablewine
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, walktowards_sofa289, livingroom, null, kitchen, appleapplefridgekitchentablewine
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, sit_sofa289, livingroom, null, kitchen, appleapplefridgekitchentablewine
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, walktowards_kitchen50, livingroom, null, kitchen, appleapplefridgekitchentablewine
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, walktowards_kitchen50, livingroom, null, kitchen, appleapplefridgekitchentablewine
INSIDE_kitchen_INSIDE_fridge, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, walktowards_kitchen50, livingroom, grab_wine336, kitchen, appleapplefridgekitchentablewine
in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, OPEN, CLOSED, OFF, walktowards_kitchen50, livingroom, close_fridge149, kitchen, appleapplefridgekitchentablewine
in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_bedroom185, kitchen, appleapplefridgekitchentablewine
in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchen50, livingroom, walktowards_bedroom185, kitchen, appleapplefridgewine
in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_coffeetable221, bedroom, appleapplefridgeplatewine
in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_coffeetable221, bedroom, appleapplewine
in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, walktowards_coffeetable221, bedroom, wine
in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, walktowards_coffeetable221, bedroom, wine
in_agentHandsB, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_bedroom185, kitchen, putback_wine_coffeetable, bedroom, coffeetablewine
INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, null, bedroom, coffeetablewine
INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, walktowards_kitchencabinet133, kitchen, null, bedroom, coffeetablewine
INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, open_kitchencabinet133, kitchen, null, bedroom, coffeetablewine
INSIDE_bedroom_ON_coffeetable, INSIDE_kitchen_INSIDE_kitchencabinet, CLOSED, CLOSED, OFF, grab_book332, kitchen, null, bedroom, coffeetablewine
INSIDE_bedroom_ON_coffeetable, in_agentHandsA, CLOSED, CLOSED, OFF, null, kitchen, null, bedroom, coffeetablewine
